,A_40,A_60,A_80,D_40,D_60,D_80,Salt
0,-6.9324906383885825,-4.068250505804862,-2.7714193755387546,-7.319999999992433,-4.30000000000291,-2.9199999999982538,0.01
1,-8.426302172219891,-5.029507528550224,-3.4662453191942912,-8.830000000001746,-5.30000000000291,-3.6600000000034925,0.02
2,-9.315577278921944,-5.617534781479927,-3.8993421066913116,-9.679999999993015,-5.889999999999418,-4.099999999991269,0.03
3,-9.940981854132374,-6.038382813949589,-4.213151086109946,-10.259999999994761,-6.289999999993597,-4.4100000000034925,0.04
4,-10.418300515008006,-6.363733531721699,-4.457985779410251,-10.690000000002328,-6.599999999991269,-4.649999999994179,0.05
5,-10.801129036319898,-6.627321236088249,-4.657788639460972,-11.029999999998836,-6.8399999999965075,-4.8399999999965075,0.06
6,-11.118664751660166,-6.847763285546895,-4.825890702259132,-11.319999999992433,-7.039999999993597,-4.989999999990687,0.07
7,-11.38854308048072,-7.036425500629877,-4.970490927066187,-11.559999999997672,-7.209999999991851,-5.129999999990105,0.08
8,-11.622211211191463,-7.200752690879931,-5.096993963467366,-11.769999999989523,-7.360000000000582,-5.239999999990687,0.09
9,-11.82750680253383,-7.3458824284991895,-5.209150257504003,-11.94999999999709,-7.489999999990687,-5.3399999999965075,0.1
