,D_40,D_60,D_80,Salt
0,-2.219999999993888,-1.2200000000011642,-0.8000000000029104,0.01
1,-3.1599999999962165,-1.75,-1.1500000000014552,0.02
2,-3.849999999998545,-2.1599999999962165,-1.4199999999982538,0.03
3,-4.429999999993015,-2.4899999999979627,-1.639999999999418,0.04
4,-4.9099999999962165,-2.779999999998836,-1.8400000000037835,0.05
5,-5.3399999999965075,-3.029999999998836,-2.0100000000020373,0.06
6,-5.719999999993888,-3.2600000000020373,-2.1699999999982538,0.07
7,-6.059999999997672,-3.470000000001164,-2.319999999999709,0.08
8,-6.379999999997381,-3.6699999999982538,-2.4500000000043656,0.09
9,-6.6599999999962165,-3.849999999998545,-2.5800000000017462,0.1
